标题,正文,链接,阅读量,时间
国家医保局有关司负责人就职工医保门诊共济保障机制改革相关问题答记者问,据国家医保局网站2月25日消息，近日，一些地方推进职工医保门诊共济保障机制改革，引发部分群众关注。部分群众对改革后职工医保个人账户划入减少有疑问，对改革后看病就医便利性有顾虑。针对此次改革中社会普遍关心的问题，国家医疗保障局有关司负责人回答了记者提问。 问题1：此次改革的背景是什么？ 答：我国职工医保制度于1998年建立，实行社会统筹和个人账户相结合的保障模式。具体而言，就是由单位和职工个人共同缴费。单位缴费的一部分和职工个人缴费的全部，划入个人账户，主要用于保障普通门诊和购药费用。单位缴费的另一部分形成统筹基金，主要用于保障参保职工住院费用。这个制度在当时特定历史时期中发挥了重要作用，但随着20多年来经济社会的巨大变化，个人账户风险自担、自我保障门诊费用的方式，已越来越难以满足保障群众健康的需要，具体表现在“三个不适应”。 一是不适应日益慢性病化的疾病谱。职工医保建立20多年来，我国疾病谱已发生了巨大变化，慢性病已成为影响我国居民健康的主要疾病。全国居民因慢性病导致的死亡人数占总死亡人数的比例超过85%，导致的疾病负担占总疾病负担的70%以上。治疗慢性病最有效的方式，就是通过门诊早诊早治、健康管理，避免小病拖成大病，有效减轻群众病痛和经济负担。原有制度安排中，以个人账户保障普通门诊费用的方式难以满足现实需求。 二是不适应医疗技术的飞速进步。随着医疗技术的发展，门诊可提供的医疗服务范围大幅增加，服务功能明显加强。之前群众需要住院才能享受的诊疗服务，已越来越多地转变为门诊项目。过去必须通过住院才能开展的检查检验及部分手术项目，现在通过门诊就可以解决，门诊服务量快速增长。2001年到2021年，全国医疗机构门急诊人次数从19.5亿次增至80.4亿次，增长了312%。个人账户有限的资金积累，难以适应参保人对门诊需求的大幅增长。 三是不适应我国老龄化发展趋势。2001年我国就已进入老龄化社会，较其他国家，我国老龄化速度更快、老龄人口占比更大。2001年至2021年，全国65岁及以上老年人口从9062万快速增长至2.05亿，占总人口的比重从7.1%攀升至14.2%。据测算，2035年左右，我国60岁及以上老年人口将突破4亿，在总人口中的占比将超过30%，进入重度老龄化阶段。老年人随着年龄增加，患病概率更高，而且往往易患多种慢性病，门诊就医频次、就医费用都显著高于中青年。2021年，退休人员人均门诊就诊次数是在职职工的2.17倍，门诊次均费用是在职职工的1.15倍。但原有制度对门诊保障力度不足，老年人小病时不舍得花钱治疗，小病拖成大病，最终不得不住院治疗的现象不在少数。这既增加了老年人身心痛苦，也增加了家人的照护负担，还导致花费了更多费用。 基于上述原因，群众要求报销普通门诊费用的呼声越来越高。为此，国家医保局从2018年开始谋划改革工作，经过反复论证、深入研究后，形成了初步改革方案，并于2020年8月通过中国政府网、国家医保局官方网站等平台向社会广泛公开征求了意见。2021年4月，国务院办公厅印发《关于建立健全职工基本医疗保险门诊共济保障机制的指导意见》（国办发〔2021〕14号，以下简称《指导意见》），改革正式启动。 问题2：此次改革可为参保人带来哪些获益？ 答：此次改革，将在以下三方面给参保人带来获益。 一是“增”，让大部分地区实现普通门诊报销从无到有的转变。通俗来说，就是原来职工医保参保人看普通门诊不报销的地区，改革后可以报销；原来看普通门诊可以报销的地区，报销额度进一步提升。第一，除了药品费用可以报销外，符合规定的检查、检验、治疗等费用也可以报销。第二，部分治疗周期长、对健康损害大、费用负担重的疾病门诊费用将被纳入普通门诊报销，并享受更高的报销比例和额度。第三，符合条件的定点零售药店提供的用药保障服务，也被纳入门诊报销范围。 二是“优”，通过优化医疗资源配置一定程度缓解“住院难”问题。改革前，由于普通门诊保障不足，“无指征住院”“挂床住院”“小病住院”等不合理的医疗行为频发。改革后，参保人在普通门诊就能享受报销，一定程度上能够降低此前居高不下的住院率，减轻大医院病床周转的压力，促进医疗资源合理配置，把优质医疗资源留给真正需要的病人。 三是“拓”，将个人账户使用范围由参保人本人拓展到家庭成员。改革前，个人账户按规定只能由参保职工本人使用，家庭成员生病时不能使用亲属的个人账户。本次改革在三方面拓展了个人账户使用范围：第一，可以支付配偶、父母、子女在定点医疗机构就医时发生的由个人负担的医疗费用；第二，可以支付配偶、父母、子女在定点零售药店购买药品、医疗器械、医用耗材发生的由个人负担的费用；第三，部分地区可以支付配偶、父母、子女参加城乡居民基本医疗保险等的个人缴费。 问题3：此次改革的具体路径是什么？改革后，参保人个人账户里面的结余受影响吗？ 答：本次改革，是在不增加社会和个人额外负担的前提下，建立职工医保普通门诊统筹报销机制，并通过调减单位缴费和统筹基金划入个人账户的比例，为普通门诊报销提供资金支持。改革明确要求，资金平移后全部用于门诊统筹报销，以满足广大参保人特别是退休人员对报销普通门诊费用的需求，简单来说就是“待遇置换，资金平移”。 关于个人账户划入方式的调整，《指导意见》有明确设计。具体而言，主要有3个“不变”和2个“调整”。 3个“不变”。第一，个人账户结余的归属不变。个人账户的本金和利息，无论是改革前的历史结余，还是改革后新划入形成的结余，都仍然归个人所有，都仍然可以结转使用和继承。第二，在职职工个人缴费的比例、流向不变。在职职工个人医保缴费仍然全额划入个人账户。第三，退休人员不缴费的政策不变。退休人员仍然不需缴费，个人账户资金仍然由医保统筹基金划入。 2个“调整”，是指按照不同方法，分别调整在职职工、退休职工的个人账户划入方式。第一，对于在职职工，改革前，个人账户的资金来源由单位缴费的一部分和个人缴费共同组成；改革后，个人缴费依然全部划入个人账户，原来单位缴费划入个人账户的部分，划入统筹基金。第二，对于退休人员，改革前，大部分地方每月划入个人账户的资金为“个人养老金实际发放数×划入标准”；改革后，划入个人账户的资金为“本统筹地区实施改革当年基本养老金平均水平×划入标准”，其中，改革后的划入标准比改革前有所降低。 此次改革的核心，是用调整个人账户的划入方式，来“置换”普通门诊统筹报销。改革涉及利益调整，不少参保人划入个人账户的资金会有不同程度的减少。特别是考虑到我国各地区域间发展不平衡，医保政策存在一定差异，我们一直坚持稳步推进，努力处理好改革前后的政策衔接，逐步实现改革目标。 问题4：本次改革在济病济困方面有什么考虑？ 答：为了发挥普通门诊报销济病济困作用，防止因病致贫、因病返贫现象的发生，我们在本次改革中，也考虑了群众实际困难并予以倾斜。 一是注重向患病群众倾斜。改革前，职工门诊就医主要依靠个人账户保障，风险自担、费用自付。对于健康人群而言，个人账户往往用不完，形成资金沉淀；对于患病多的群体而言，个人账户又常常不够用，影响了就医诊疗。改革建立门诊统筹报销，将推动医保基金更多用于患病多的人群。 二是注重向老年群体倾斜。改革明确要求，各地设计报销政策时，针对退休人员要在“一低两高”方面有所安排，即报销“起付线”比在职职工更低、报销比例比在职职工更高、报销“封顶线”比在职职工更高。目前，已开展改革的各统筹地区基本都明确了退休职工享受更高的报销待遇，以更好保障老年人健康权益。 此外，考虑到许多参保人特别是退休人员在基层医疗机构就诊取药比较方便，改革要求在门诊报销待遇方面对基层医疗机构给予倾斜，并将符合条件的定点零售药店提供的用药保障纳入报销范围，方便群众在家门口就医购药。 问题5：为解决门诊费用高的问题，除了此次开展的改革，国家医保局还开展了哪些工作？ 答：要减轻群众反映强烈的普通门诊费用负担，不仅需要建立普通门诊报销机制，而且需要一系列系统性改革相互支撑。国家医保局自2018年组建以来，推出一系列惠民举措，为本次改革提供了有效支撑。 一是降低药品价格。国家组织开展294种药品集中带量采购，一批高血压、冠心病、糖尿病等门诊常见病、慢性病用药平均降价超过50%。得益于大幅降价，患者使用高质量药品的比例从集采前的50%上升到90%以上。同时，每年按“价同效优、效同价宜”原则动态调整医保目录，累计新增618种药品报销，其中341种药品通过“灵魂砍价”平均降价超过50%，保障更多患者用上了过去用不起、买不到的新药好药。 二是优化医保服务。在持续优化异地住院费用直接结算的基础上，不断扩大异地门诊费用直接结算范围，2022年全国门诊费用跨省直接结算惠及3243.56万人次。优化规范长期处方管理，满足慢性病患者长期用药需求，一次就医可开具的处方量最长达12周。 三是加强医药价格费用的监管。持续纠治群众反映强烈的“小病大治”、多收费、乱收费、价格失信等危害群众利益行为。2018年以来，累计处理医疗机构154.3万家次，曝光典型案例24.5万件，积极促进医疗服务行为规范，努力让群众享受质优价宜的医药服务。 本次改革后，随着医保管理服务向门诊领域进一步延伸，上述各项惠民机制将在普通门诊统筹这一新的平台进一步发挥系统集成作用，为改革提供有力支持，以增进参保职工的健康福祉。 问题6：目前，各地推进改革落实的情况如何？ 答：目前，全国已有99%的统筹地区开展了普通门诊统筹。2022年，普通门诊统筹减轻职工就医负担1086亿元。2023年以来，全国定点医疗机构已实现普通门诊统筹结算4.41亿人次，日均结算超过780万人次，完成结算金额462.4亿元。通过“待遇置换、资金平移”，改革的效果逐步显现。 当然，由于各统筹地区经济社会发展不平衡，推进改革也存在不平衡，有的地方改革红利还没有充分释放。对此，我们将指导各地持续优化完善配套措施，确保实现预期目标。 一是将更多定点零售药店纳入门诊报销范围。有群众反映，改革后虽然普通门诊费用能报销，但对于习惯在药店购药的患者来说，购药报销不方便。对此，国家医保局近期印发《关于进一步做好定点零售药店纳入门诊统筹管理的通知》（医保办发〔2023〕4号，以下简称《通知》）明确，参保人凭定点医药机构处方在定点零售药店购买医保目录内药品，可由统筹基金按规定报销。《通知》还要求各地加大力度，实现定点医疗机构电子处方顺畅流转到定点零售药店，方便参保人凭处方开药。2023年以来，全国已有2962万人次在定点零售药店实现结算，结算金额14.34亿元，职工参保人在药店次均报销48.41元。 二是推动基层医疗机构配备更多药品。有群众担心，基层医疗机构的药品配备不足，无法在一、二级医疗机构买到自己需要的药品。对此，国家医保局将加强部门协同，联合有关部门不断完善政策，支持基层医疗服务体系的建设，优化医疗资源配置，完善家庭医生签约服务，督促基层医疗机构加强药品配备等，努力让群众就近享受医疗服务。 三是提供更加优质的医保便民服务。有群众呼吁，希望进一步提升医保便民化服务，让群众办事“少跑腿”。对此，国家医保局积极推进“互联网+医保”服务，推动医保电子凭证就医购药全流程应用、扩大医保移动支付接入范围，让参保人通过手机就能完成挂号就诊、医保结算、参保信息查询、异地就医备案等相关服务。 群众有所呼，医保有所应。国家医保局将继续指导各地医保部门持续落实改革部署，认真倾听群众呼声，定期评估改革落地情况，根据本地经济社会发展水平和群众就医需求，研究优化门诊报销比例、“起付线”和“封顶线”等政策，不断细化配套措施，优化管理服务，提高保障水平，努力提升人民群众的获得感、幸福感、安全感。,https://www.sohu.com/a/646211426_313745?edtsign=2BC8DD9D7DDC9E1BC80965A959294C20112B8B5F&amp;edtcode=U4yDubwcMLe4IdRtJnY%2B3Q%3D%3D&amp;scm=1103.plate:280:0.0.1_1.0,1098058,2023-02-25 13:36
层岩舅爆料3.5版本4星，神中神班神来了？,来自层岩舅的爆料。  3.5上半：班尼特，柯莱，芭芭拉 3.5下半：迪奥娜，砂糖，米卡 注意，网上的爆料消息一律不保真，还是要以官方消息为准。简评一下几位角色。  班尼特：神中神，1命即可。如果不是很想要这期的5星角色，可以只抽到1命。如果已有4命班尼特，可抽到5命。 柯莱：光送就送两个了。如果需要草角色，至少你都有草主。所以非厨力玩家可以不用刻意抽柯莱。 芭芭拉：新手玩家有一个奶妈挺不错，但芭芭拉过主线也会送一个，非厨力玩家不用刻意抽。  迪奥娜：不错的盾辅，缺盾辅的玩家可以抽一个。或者玩永冻队，没有申鹤或罗莎莉亚的玩家可以抽一个。 砂糖：非常好的风辅，没万叶的玩家建议抽一个。 米卡：物理拐，玩优菈或雷泽的玩家可以抽一个。,https://www.sohu.com/a/646271300_645761?scm=1102.xchannel:1065:110036.0.1.0~9010.8000.0.0.681,4203,2023-02-25 17:44
下次假期还有多久？清明不调休，只休一天,来源：北京日报客户端 实习记者 高悦 流程编辑：u028,https://www.sohu.com/a/646202122_114988?edtsign=EF772DD92D73E06F9B8ACC02D57D312FDDD498ED&amp;edtcode=U4yDubwcMLe4IdRtJnY%2B3Q%3D%3D&amp;scm=1103.plate:280:0.0.1_1.0,118984,2023-02-25 13:21
港媒称蔡天凤被碎尸案主谋为前夫父亲：反侦察能力强，曾卷入强奸案,名媛、名模蔡天凤被碎尸一案近日引起全香港舆论关注。继2月24日警方寻获蔡天凤尸体部分残骸后，25日其前夫、本案疑凶之一的邝某在潜逃离港前被抓。  据东网、“香港01”等多家港媒消息，蔡天凤前夫的父亲被认为是该案主谋，他曾在香港警队任职，2005年离开警队，熟悉警方调查方式，反侦察能力较强。  香港商报网报道披露，蔡天凤早年与姓邝前夫结婚后，出资购买何文田加多利山物业，与前夫一家人居住，但为了节省印花税，以邝父名义挂名买楼，离异后一直让前夫居住。因蔡天凤打算出售该物业套现，有人盛怒下动杀机。  蔡天凤前夫的父亲曾在警队任职警长，2005年离开警队，有丰富的刑侦经验，在接受警方盘问期间屡带警方“游花园”（意指模糊案情）。其后，警方通过锲而不捨追查监控素材，最终追踪到涉事的龙尾村案发单位，才揭开这宗骇人听闻的凶杀案。  香港文汇网报道援引蔡天凤前夫父亲的邻居说法称，涉事村屋地下单位为一名业主持有，已搬出原区出外居住，单位经常换租客，涉事疑凶一家大约数星期前才搬入居住，每次均有一名年约60多岁的男子驾驶一辆七人车到场。该男子目露凶光，对邻里态度极不友善，到场定必巡逻视察周边环境，再三确保无异样才进入单位。  陪伴该男子的是一名同年纪的卷发女子，怀疑两人便是警方拘捕的姓邝前夫父母。该邻居上一次见两人到场便是23日，即警方采取拘捕前一天。  此外，东网25日报道还披露，该案主谋、蔡天凤前夫的父亲在警队任职期间就品行不端，卷入一起强奸案，后被执法人员拘捕。,https://www.sohu.com/a/646284640_260616?edtsign=422559E8D2615377197F32E563495653D5ADAE70&amp;edtcode=U4yDubwcMLe4IdRtJnY%2B3Q%3D%3D&amp;scm=1103.plate:280:0.0.1_1.0,24919,2023-02-25 18:22
黎姿92岁姑妈黎宣罕露脸，坐轮椅出镜精神饱满，年事已高口齿不清,在疫情之前，香港演艺人协会每年都会在开春举办春茗茶聚会，让忙碌了一年的香港演艺人能够借此机会相聚，互相聊天寒暄。后来受到疫情的影响，已经有三年没有举办春茗茶聚，直到2023年才由古天乐、余安安再度举办。由于是时隔三年才举办的春茗茶聚，所以场面相当热闹，除了会长古天乐，副会长余安安以及一众年轻的艺人外，不少老一辈的艺人也到场一聚，比如黄夏蕙、邵音音、冯素波、罗兰、余慕莲等。 之所以安排那么多老一辈的艺人到场，除了让大家一聚之外，还有一个原因是，协会今年增设了“杰出演艺大奖”，这个奖项是为老一辈艺人所设，并且颁发给的都是一些老一辈艺人。这些艺人在圈内活跃很多年，但因为绿叶身份的关系，从来都没有获得嘉奖，就算退休之后，也没有机会获得认可，所以大会才会增设这样的奖项，这是对老一辈艺人为演艺事业奉献了一生的肯定与认可。而今年获得认可的有三位前辈，分别是余慕莲、江图与黎宣，其中余慕莲与江图都到达了现场，获得古天乐亲自颁奖，黎宣因为年事已高，缺席了聚会。 现年85岁的余慕莲是香港资深艺人，亦是TVB的资深绿叶，在60年代末期就已经加入了娱乐圈发展，多年来一直出演绿叶、配角，尤其是出演丑角居多。虽然一辈子没有做过女主角，但因为在TVB的剧集中多被委任丑角，故此为电视观众所熟知。余慕莲在2010年离开了TVB，曾经加入过香港电视台发展，可惜港视不获得发牌照，离开港视后她依然以自由人的身份发展，直到疫情开始。2020年余慕莲患上肺纤维化，一度被送往ICU急救，幸得被救了回来，如今不善行走，咳嗽厉害，无法再参加演出工作。 余慕莲活跃在娱乐圈大半辈子，从来没有获得任何嘉许，包括在TVB服务了那么多年，此次香港演艺人协会颁发了这个“杰出演艺大奖”给她，这是她生平获得的第一个奖项，在台上她喜极而泣，感触落泪。余慕莲直言从影数十年从未获得任何奖项，如今有人颁奖给自己很感动，本来还以为这辈子都不会拿奖，没想到有这个奖填补空白。余慕莲一番肺腑之言，感动全场，大家都为她感到开心。 余慕莲还能来到现场领奖，与众多老朋友相聚，获得古天乐颁奖，对她而言是一件很开心的事情，毕竟还能外出就已经相当感恩了。而“杰出演艺大奖”的另一位女性获得者黎宣，就因为年事已高而没有到场，无法与老友一聚，实属可惜。黎宣虽然没有到场，不过香港演艺人协会的副会长余安安亲自登门拜访，将奖座亲自送到了黎萱的手中，还不忘拍下了黎萱的视频。 现年92岁的黎宣自从2010年拍摄了TVB的《Only You只有您》就淡出了娱乐圈，之后就鲜少再看到她露脸，上一次她现身街头还是2019年的时候，当时她与丈夫、女儿一同到诊所看病，那时候她还能行走，看起来精神也不错，之后疫情三年，老人家不便外出，黎萱就再也没有露脸。时隔三年再见到黎萱，头发已经全白，坐在轮椅上的她精神尚可，看起来还是很精灵。但是年纪大了，口齿已经不清了，只能简单地表达感言，表示自己拿奖很开心，余安安还送上了一个红包给她，代表香港演艺人协会对她表达慰问之情。 黎宣是香港资深艺人，出生在演艺世家，母亲林楚楚是香港第一代电影明星，妹妹黎灼灼也是香港知名艺人，侄女是黎姿。她在50年代就开始活跃在影坛，不过如今很多观众认识黎宣是在70年代她加入电视圈发展之后，《家春秋》、《陈真》、《大侠霍元甲》都是她的代表作。90年代后黎宣加入TVB发展，《真情》、《大时代》成为了她最后的代表作，如今《真情》还在TVB播出，观众每日都能在电视荧幕上看到她昔日的风采，令人很是怀念。而在《大时代》中，她出演的是郑少秋的母亲这个角色，由于《大时代》是爆款，所以黎宣也一并被关注。 回头来说香港演艺人协会此次举办的春茗活动，这个活动是由古天乐拍板决定的。古天乐在2018年上任了这个协会的会长后，百忙之中还致力协会的发展。疫情三年，他发起多个活动帮助受到疫情所困的演艺人，此次复办春茗活动，除了自己掏腰包，还四处找找赞助，为活动提供充足的资金，还增设了“杰出演艺大奖”，可以说上任5年劳苦功高，得到了大众的一致认可。 PS：图片均来自互联网,https://www.sohu.com/a/646150388_100279529?scm=1103.plate:544:0.0.1_1.0,118740,2023-02-25 10:59
封号！行拘！与前夫摆拍家暴完整监控公布，女子出镜道歉,2月23日，安徽阜阳一女子发布自己被前夫家暴的视频引关注，经证实是剧本，其称已报警系说谎。  25日，据澎湃新闻报道，警方发布了谭某“被家暴”的完整监控录像，视频显示其曾与前夫多次演练，拍摄完后二人说说笑笑。目前，谭某因违反治安管理处罚法被依法行政拘留十日，相关账号也被封禁。 据澎湃新闻25日消息，颍州警方提供了当事人谭某被“家暴”前后的完整监控视频，警方表示，谭某家的监控在她“被打”前才刚开始使用，在谭某自行上传的“被家暴”视频中，其前夫于23日15时25分许，按门铃进入室内。 但完整监控显示： 2月23日14时许，谭某打开客厅监控并调试。  23日14时27分许，谭某前夫来到家中，询问谭某“啥晚（时候）拍”。   23日14时40分许至15时28分许， 二人进行“预演”，相似的“被打”场景多次出现。  23日15时30分许，二人“拍摄”完毕， 谭某起身和前夫说笑，随后，其前夫躺在客厅沙发看电视。  25日，当事人谭某出镜道歉：“为博流量喊来前夫摆拍，很后悔，大家不要和我学。”  目前，谭某因违反治安管理处罚法第二十五条第一项，散布谣言，扰乱公共秩序， 被依法行政拘留十日。 记者注意到， 其账号已被封禁。涉事平台回应称，平台坚决打击发布和传播不实信息的行为。该用户行为已严重违反平台规则，平台已封禁其账号并下架视频。  来源：北京日报微信公众号 北京日报（ID：Beijing_Daily)综合澎湃新闻、@阜阳发布、@西部决策、此前报道【转载请注明来源北京日报微信公众号】 监制：张力 编辑：初心 流程编辑：郭丹,https://www.sohu.com/a/646251752_163278?edtsign=1A10A18973416B0689A18AA51123F7C77A8F73F3&amp;edtcode=U4yDubwcMLe4IdRtJnY%2B3Q%3D%3D&amp;scm=1103.plate:280:0.0.1_1.0,52341,2023-02-25 15:48
白俄罗斯总统卢卡申科将访华,据外交部网站2月25日消息，外交部发言人华春莹宣布： 应国家主席习近平邀请，白俄罗斯总统卢卡申科将于2月28日至3月2日对中国进行国事访问。 ,https://www.sohu.com/a/646220841_313745?edtsign=E7D20B494AEDA4C745D07A01EF33C990801A0E3A&amp;edtcode=U4yDubwcMLe4IdRtJnY%2B3Q%3D%3D&amp;scm=1103.plate:280:0.0.1_1.0,1236641,2023-02-25 14:06
南京白面僧面猴被称“长相炸裂”，动物园：它很乖巧，是一个社恐,日前，南京红山森林动物园的白面僧面猴“杜杜”因长相走红网络。杜杜一身浓密的黑毛，脸上却是白色的毛，一黑一白形成强烈对比，被网友调侃“长相炸裂”“是不是《千与千寻》无脸男的原型”。 红山森林动物园宣传教育部工作人员陈园园告诉九派新闻，白脸是雄性白面僧面猴的标志，“杜杜看起来长相炸裂，但其实是一个社恐。”  南京红山森林动物园里一共有三只白面僧面猴，是杜杜一家三口。 工作人员称，杜杜性格比较稳重，对新鲜事物比较谨慎。当饲养员给它们没见过的食物时，杜杜会等伴侣先吃，再闻闻味道，如果喜欢，再向饲养员要食物。“杜杜还有非常健康的作息，每天都是早睡早起，一般下午四点多就爬到树上去睡觉了。”  杜杜在社交媒体走红。图/网络截图 以下是与红山森林动物园工作人员的对话。 【1】看似长相炸裂，实则是一个“社恐” 九派新闻：目前红山森林动物园里有多少只白面僧面猴？ 红山森林动物园：有3只，就是杜杜一家三口。它的伴侣叫花花，它们是2019年引进到红山森林动物园的，花花在去年夏天生了一个猴宝宝，是个女娃娃。  杜杜的伴侣“花花” 图/受访者提供 九派新闻：杜杜和其它品种的猴子养在一起吗？ 红山森林动物园：杜杜一家三口冬天是住在室内展馆，因为白面僧面猴体型小代谢快，需要较高的环境温度。它们目前没有和其他猴子混养。到了春天，天气暖和一点，能到室外展区后，会和红吼猴等南美洲的灵长类共享更大的室外空间。现在杜杜一家还在室内展区，大家想欣赏它们的盛世美颜，要抓住机会。 九派新闻：杜杜的性格怎么样？ 红山森林动物园：它性格比较稳重，对新鲜事物比较谨慎，是个稳重的“大叔”。当饲养员给它们没见过的食物时，杜杜会等花花先拿了吃，再凑到花花嘴边闻闻看看是什么味道，如果他觉得好吃，才会来向饲养员要食物。而且杜杜也是个好爸爸，在花花埋头大吃的时候，他就留在宝宝身边看娃。 杜杜还有非常健康的作息，每天都是早睡早起，一般下午四点多，就爬到高处的树上，团成一团入睡了。  杜杜和花花的孩子 图/受访者提供 九派新闻：网友说杜杜长相炸裂，对此园方有什么表示？ 红山森林动物园：乍一看可能会被吓到。但是线下见到杜杜，就会发现它体型不大，经常在林间、石壁蹦跶，特别好动，但看到新鲜事物又会表现得非常谨慎，露出一副好奇又“社恐”的神情，特别可爱呆萌。 九派新闻：为什么此前发文说杜杜有“星味”？ 红山森林动物园：一方面是杜杜的外形撞脸动漫里的“无脸男”，另一方面是，杜杜的长相较“大众脸”还是十分出众吸睛的。这也是网友纷纷拍视频调侃它长相炸裂的原因，也让杜杜一瞬间走红网络。  园方此前发文 图/网络截图 九派新闻：杜杜生活在园区的哪个展区？ 红山森林动物园：现在在冈瓦纳展区，欢迎大家来“追星”。杜杜是展区的原住民，他对展区的环境非常熟悉，游客参观并不会对杜杜造成影响。但是大家给杜杜拍照记得要关掉闪光灯，不然会吓到杜杜。 九派新闻：最近来追星杜杜的游客多吗？ 红山森林动物园：这两天游客的数量和往常差不多，但是我们发现，很多游客在看见杜杜的时候都可以叫出它的名字，也有人说，“它就是网上那只很火的猴子”。 【2】毛发油光水亮，是它们有良好社交的表现 九派新闻：能不能介绍下白面僧面猴这个品种？ 红山森林动物园：白面僧面猴全身毛发十分浓密，脸上白白的那块也是毛，没有发缝，特别让人羡慕。雄性和雌性的长相不一样，只有雄性有标志性的白脸。  九派新闻：它们主要的食物是什么？ 红山森林动物园：它们体型比较小，白天活动期间会花很多时间寻找食物。食物种类繁多，主要是果蔬、坚果、昆虫、鸟蛋。我们在喂食时会采取少量多次的方式，除了一天两次“正餐”，还会给它们一些小零食。 九派新闻：为什么白面僧面猴的毛都是油光水亮的？ 红山森林动物园：毛发油光水亮是健康的表现，表明营养状态良好，身上没有寄生虫，还可以证明它们有良好的社交。因为它们维系感情的手段就是互相梳理毛发，每天会花很多时间来理毛。  杜杜的特写 图/受访者提供 九派新闻：园内里还有哪些让人眼前一亮的动物？ 红山森林动物园：有挺多吸睛的动物。就拿冈瓦纳展区来说，这里的猴子们长相都很有特色，比如说有善于合唱的红吼猴、“大眼萌”孟加拉蜂猴、有着高颅顶和络腮胡的红背须僧面猴，每一种动物都有它独特的魅力和特质。 九派新闻：对于来动物园的游客，你们有哪些建议？ 红山森林动物园：我们希望大家常来动物园与小动物交换情感。与动物交流是现代社会非常需要的治愈时刻和放松方式。这些年，我们正在积极改善动物的生活环境，提高动物福利，专业技术也在不断突破。游客来到红山，最直观的是看到动物的生活环境好了许多，看见动物自信从容，能感受到动物和野外栖息地之间紧密关联，亲密和谐。 九派新闻记者 万璇 实习记者 郑念祖 【爆料】请联系记者微信：linghaojizhe 【来源：九派新闻】 版权归原作者所有，向原创致敬,https://www.sohu.com/a/646150085_121019331?edtsign=BFCCDA1ABBA0914EC229F62A24ACC93E0881C7FA&amp;edtcode=U4yDubwcMLe4IdRtJnY%2B3Q%3D%3D&amp;scm=1103.plate:280:0.0.1_1.0,246060,2023-02-25 10:51
全国人大常委会：军队战时可调整适用《刑事诉讼法》部分规定,据新华社北京2月24日电  全国人民代表大会常务委员会关于军队战时调整适用《中华人民共和国刑事诉讼法》部分规定的决定 （2023年2月24日第十三届全国人民代表大会常务委员会第三十九次会议通过） 为贯彻落实党的二十大精神，完善中国特色军事法治体系，从法律制度上保障人民军队有效履行新时代使命任务、提高打赢能力，第十三届全国人民代表大会常务委员会第三十九次会议决定：军队战时开展刑事诉讼活动，遵循《中华人民共和国刑法》、《中华人民共和国刑事诉讼法》确定的基本原则、基本制度、基本程序，适应战时刑事诉讼特点，保障诉讼当事人合法权益，维护司法公平正义，可以调整适用《中华人民共和国刑事诉讼法》关于管辖、辩护与代理、强制措施、立案、侦查、起诉、审判、执行等部分具体规定。具体由中央军事委员会规定。 本决定自2023年2月25日起施行。 编辑 艾峥,https://www.sohu.com/a/646073283_114988?edtsign=67F7AF2A2F14E4CA91ACE1799E80150703203D13&amp;edtcode=U4yDubwcMLe4IdRtJnY%2B3Q%3D%3D&amp;scm=1103.plate:280:0.0.1_1.0,750206,2023-02-25 07:07
国台办：公安机关对洪政军、孔祥志依法作出稳妥处理,【环球网报道】国台办发言人朱凤莲答记者问 问：据悉，台南学甲88枪案犯罪嫌疑人洪政军、孔祥志已被遣返回台，请予证实。 答: 2023年1月，台湾居民洪政军、孔祥志因非法进入大陆被公安机关抓获。为打击犯罪，保障两岸人民生命财产安全，维护两岸交流秩序，公安机关对洪政军，孔祥志依法作出稳妥处理。,https://www.sohu.com/a/646259188_162522?edtsign=6C4D6F0AA8DEEEBB522BAA8680EC8E22060BBA9F&amp;edtcode=U4yDubwcMLe4IdRtJnY%2B3Q%3D%3D&amp;scm=1103.plate:280:0.0.1_1.0,80454,2023-02-25 16:51
